0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.6
4,0.0,0.8
5,0.0,1.26
6,0.0,1.62
7,0.0,2.07
8,0.0,2.44
9,3.67,2.84
10,3.71,0.03
11,3.71,0.35
12,3.71,0.43
13,3.71,0.71
14,3.71,0.86
15,3.71,1.12
16,3.71,1.23
17,3.71,1.44
18,3.71,1.58
19,4.32,1.88
20,4.32,0.02
21,4.32,0.28
22,4.32,0.35
23,4.32,0.58
24,4.32,0.75
25,4.32,0.92
26,4.32,1.12
27,4.32,1.32
28,4.32,1.48
29,4.56,1.74
30,4.57,0.03
31,4.57,0.25
32,4.57,0.36
33,4.57,0.63
34,4.57,0.81
35,4.57,1.02
36,4.57,1.2
37,4.57,1.42
38,4.57,1.62
39,4.86,1.93
40,4.85,0.01
41,4.85,0.35
42,4.85,0.47
43,4.85,0.7
44,4.85,0.91
45,4.85,1.19
46,4.85,1.41
47,4.85,1.71
48,4.85,1.91
49,5.94,2.34
50,5.96,0.02
51,5.96,0.43
52,5.96,0.54
53,5.96,0.92
54,5.96,1.2
55,5.96,1.49
56,5.96,1.76
57,5.96,2.06
58,5.96,2.28
59,7.04,2.68
60,7.07,0.03
61,7.07,0.41
62,7.07,0.59
63,7.07,0.9
64,7.07,1.13
65,7.07,1.41
66,7.07,1.63
67,7.07,1.94
68,7.07,2.15
69,7.24,2.56
70,7.21,0.03
71,7.21,0.41
72,7.21,0.55
73,7.21,0.87
74,7.21,1.15
75,7.21,1.51
76,7.21,1.79
77,7.21,2.06
78,7.21,2.28
79,7.26,2.63
80,7.27,0.04
81,7.27,0.44
82,7.27,0.56
83,7.27,0.88
84,7.27,1.07
85,7.27,1.44
86,7.27,1.72
87,7.27,1.97
88,7.27,2.22
89,6.79,2.61
90,6.78,0.04
91,6.78,0.44
92,6.78,0.52
93,6.78,0.85
94,6.78,1.05
95,6.78,1.3
96,6.78,1.54
97,6.78,1.72
98,6.78,1.92
99,6.07,2.25
100,6.07,0.02
101,6.07,0.41
102,6.07,0.56
103,6.07,0.8
104,6.07,1.01
105,6.07,1.29
106,6.07,1.5
107,6.07,1.73
108,6.07,1.85
109,5.52,2.12
110,5.51,0.02
111,5.51,0.32
112,5.51,0.43
113,5.51,0.65
114,5.51,0.8
115,5.51,1.02
116,5.51,1.19
117,5.51,1.41
118,5.51,1.54
119,4.83,1.78
120,4.83,0.03
121,4.83,0.24
122,4.83,0.31
123,4.83,0.49
124,4.83,0.66
125,4.83,0.91
126,4.83,1.07
127,4.83,1.25
128,4.83,1.45
129,4.42,1.7
130,4.4,0.02
131,4.4,0.25
132,4.4,0.32
133,4.4,0.49
134,4.4,0.62
135,4.4,0.77
136,4.4,0.94
137,4.4,1.09
138,4.4,1.22
139,3.49,1.39
140,3.48,0.01
141,3.48,0.16
142,3.48,0.23
143,3.48,0.35
144,3.48,0.48
145,3.48,0.6
146,3.48,0.67
147,3.48,0.79
148,3.48,0.85
149,2.72,0.97
150,2.73,0.02
151,2.73,0.2
152,2.73,0.27
153,2.73,0.38
154,2.73,0.46
155,2.73,0.55
156,2.73,0.65
157,2.73,0.71
158,2.73,0.77
159,2.22,0.88
160,2.2,0.0
161,2.2,0.09
162,2.2,0.11
163,2.2,0.2
164,2.2,0.27
165,2.2,0.34
166,2.2,0.44
167,2.2,0.47
168,2.2,0.53
169,1.67,0.62
170,1.68,0.01
171,1.68,0.09
172,1.68,0.14
173,1.68,0.19
174,1.68,0.23
175,1.68,0.27
176,1.68,0.32
177,1.68,0.4
178,1.68,0.48
179,1.68,0.6
180,1.67,0.0
181,1.67,0.11
182,1.67,0.15
183,1.67,0.2
184,1.67,0.23
185,1.67,0.29
186,1.67,0.36
187,1.67,0.44
188,1.67,0.53
189,1.64,0.65
190,1.65,0.0
191,1.65,0.13
192,1.65,0.17
193,1.65,0.27
194,1.65,0.32
195,1.65,0.39
196,1.65,0.45
197,1.65,0.52
198,1.65,0.55
199,1.77,0.6
200,1.76,0.01
201,1.76,0.1
202,1.76,0.15
203,1.76,0.22
204,1.76,0.26
205,1.76,0.32
206,1.76,0.4
207,1.76,0.47
208,1.76,0.58
209,2.2,0.65
210,2.2,0.01
211,2.2,0.14
212,2.2,0.18
213,2.2,0.29
214,2.2,0.35
215,2.2,0.53
216,2.2,0.59
217,2.2,0.69
218,2.2,0.79
219,2.54,0.96
220,2.54,0.01
221,2.54,0.14
222,2.54,0.2
223,2.54,0.35
224,2.54,0.43
225,2.54,0.57
226,2.54,0.71
227,2.54,0.82
228,2.54,0.93
229,3.15,1.08
230,3.17,0.0
231,3.17,0.2
232,3.17,0.28
233,3.17,0.41
234,3.17,0.5
235,3.17,0.71
236,3.17,0.86
237,3.17,0.99
238,3.17,1.09
239,3.63,1.31
240,3.64,0.01
241,3.64,0.28
242,3.64,0.36
243,3.64,0.55
244,3.64,0.66
245,3.64,0.84
246,3.64,1.04
247,3.64,1.23
248,3.64,1.37
249,4.03,1.62
250,4.03,0.03
251,4.03,0.21
252,4.03,0.27
253,4.03,0.46
254,4.03,0.63
255,4.03,0.81
256,4.03,0.98
257,4.03,1.16
258,4.03,1.34
259,4.5,1.61
260,4.5,0.01
261,4.5,0.31
262,4.5,0.4
263,4.5,0.64
264,4.5,0.79
265,4.5,1.01
266,4.5,1.21
267,4.5,1.43
268,4.5,1.63
269,5.24,1.96
270,5.25,0.01
271,5.25,0.37
272,5.25,0.48
273,5.25,0.73
274,5.25,0.92
275,5.25,1.18
276,5.25,1.42
277,5.25,1.65
278,5.25,1.87
279,6.04,2.25
280,6.06,0.03
281,6.06,0.42
282,6.06,0.57
283,6.06,0.87
284,6.06,1.14
285,6.06,1.46
286,6.06,1.75
287,6.06,2.05
288,6.06,2.29
289,6.89,2.67
290,6.88,0.03
291,6.88,0.46
292,6.88,0.6
293,6.88,0.88
294,6.88,1.12
295,6.88,1.44
296,6.88,1.73
297,6.88,2.03
298,6.88,2.29
299,7.32,2.68
300,7.33,0.01
301,7.33,0.51
302,7.33,0.64
303,7.33,1.01
304,7.33,1.27
305,7.33,1.57
306,7.33,1.88
307,7.33,2.18
308,7.33,2.37
309,7.45,2.76
310,7.46,0.03
311,7.46,0.41
312,7.46,0.54
313,7.46,0.88
314,7.46,1.15
315,7.46,1.48
316,7.46,1.73
317,7.46,1.99
318,7.46,2.21
319,7.1,2.59
320,7.11,0.04
321,7.11,0.39
322,7.11,0.51
323,7.11,0.84
324,7.11,1.13
325,7.11,1.42
326,7.11,1.7
327,7.11,1.99
328,7.11,2.22
329,6.64,2.55
330,6.61,0.02
331,6.61,0.38
332,6.61,0.5
333,6.61,0.72
334,6.61,0.93
335,6.61,1.18
336,6.61,1.39
337,6.61,1.66
338,6.61,1.87
339,6.21,2.2
340,6.21,0.01
341,6.21,0.33
342,6.21,0.45
343,6.21,0.71
344,6.21,0.89
345,6.21,1.17
346,6.21,1.33
347,6.21,1.54
348,6.21,1.72
349,5.7,2.03
350,5.68,0.01
351,5.68,0.28
352,5.68,0.42
353,5.68,0.64
354,5.68,0.81
355,5.68,1.07
356,5.68,1.23
357,5.68,1.51
358,5.68,1.69
359,4.95,1.98
360,4.98,0.04
361,4.98,0.27
362,4.98,0.38
363,4.98,0.56
364,4.98,0.68
365,4.98,0.82
366,4.98,0.98
367,4.98,1.15
368,4.98,1.27
369,4.06,1.44
370,4.04,0.01
371,4.04,0.2
372,4.04,0.23
373,4.04,0.35
374,4.04,0.45
375,4.04,0.57
376,4.04,0.7
377,4.04,0.81
378,4.04,0.91
379,3.53,1.12
380,3.52,0.01
381,3.52,0.16
382,3.52,0.21
383,3.52,0.29
384,3.52,0.35
385,3.52,0.47
386,3.52,0.58
387,3.52,0.72
388,3.52,0.84
389,2.79,0.95
390,2.77,0.01
391,2.77,0.11
392,2.77,0.14
393,2.77,0.31
394,2.77,0.38
395,2.77,0.48
396,2.77,0.59
397,2.77,0.64
398,2.77,0.75
399,2.29,0.91
400,2.29,0.02
401,2.29,0.12
402,2.29,0.13
403,2.29,0.23
404,2.29,0.29
405,2.29,0.4
406,2.29,0.43
407,2.29,0.48
408,2.29,0.56
409,1.82,0.62
410,1.83,0.03
411,1.83,0.1
412,1.83,0.14
413,1.83,0.21
414,1.83,0.29
415,1.83,0.35
416,1.83,0.4
417,1.83,0.45
418,1.83,0.49
419,1.66,0.6
420,1.64,0.0
421,1.64,0.07
422,1.64,0.12
423,1.64,0.23
424,1.64,0.26
425,1.64,0.31
426,1.64,0.36
427,1.64,0.4
